Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6833,0.5705,48.45,"[5, 95, 0, 200]",0.7853,0.6833,300
2,0.67,0.6719,60.68,"[53, 47, 52, 148]",0.6742,0.67,300
3,0.4333,0.3575,44.48,"[99, 1, 169, 31]",0.769,0.4333,300
4,0.3367,0.1737,52.63,"[100, 0, 199, 1]",0.7781,0.3367,300
5,0.6933,0.6476,52.83,"[24, 76, 16, 184]",0.6718,0.6933,300
6,0.3333,0.1667,61.83,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.4633,0.4186,32.68,"[94, 6, 155, 45]",0.7141,0.4633,300
8,0.6733,0.6749,28.72,"[53, 47, 51, 149]",0.6767,0.6733,300
9,0.76,0.7524,30.49,"[54, 46, 26, 174]",0.7523,0.76,300
10,0.8367,0.825,29.85,"[57, 43, 6, 194]",0.8473,0.8367,300
11,0.8167,0.793,37.93,"[45, 55, 0, 200]",0.8562,0.8167,300
12,0.5767,0.5619,32.67,"[99, 1, 126, 74]",0.8044,0.5767,300
13,0.5067,0.4712,28.86,"[98, 2, 146, 54]",0.7767,0.5067,300
14,0.6233,0.6192,27.65,"[98, 2, 111, 89]",0.8083,0.6233,300
15,0.82,0.8251,31.74,"[98, 2, 52, 148]",0.8756,0.82,300
16,0.93,0.9295,30.96,"[87, 13, 8, 192]",0.9297,0.93,300
17,0.91,0.907,32.69,"[76, 24, 3, 197]",0.9149,0.91,300
18,0.9133,0.9112,43.08,"[79, 21, 5, 195]",0.9153,0.9133,300
19,0.9233,0.9216,38.92,"[81, 19, 4, 196]",0.9254,0.9233,300
20,0.92,0.9175,29.2,"[78, 22, 2, 198]",0.925,0.92,300
21,0.89,0.8839,28.84,"[68, 32, 1, 199]",0.9028,0.89,300
22,0.8533,0.8555,57.95,"[85, 15, 29, 171]",0.8614,0.8533,300
23,0.8833,0.8768,36.38,"[67, 33, 2, 198]",0.8951,0.8833,300
24,0.9067,0.9029,30.07,"[74, 26, 2, 198]",0.9138,0.9067,300
25,0.8733,0.8647,46.72,"[63, 37, 1, 199]",0.8903,0.8733,300
26,0.9033,0.9045,33.76,"[91, 9, 20, 180]",0.9082,0.9033,300
27,0.9233,0.9216,106.59,"[81, 19, 4, 196]",0.9254,0.9233,300
28,0.9167,0.9145,72.21,"[79, 21, 4, 196]",0.9194,0.9167,300
29,0.9167,0.9142,78.54,"[78, 22, 3, 197]",0.9207,0.9167,300
30,0.9167,0.9142,78.35,"[78, 22, 3, 197]",0.9207,0.9167,300
31,0.9233,0.9219,63.68,"[82, 18, 5, 195]",0.9245,0.9233,300
32,0.9233,0.9213,67.92,"[80, 20, 3, 197]",0.9265,0.9233,300
33,0.92,0.9178,79.12,"[79, 21, 3, 197]",0.9236,0.92,300
34,0.9133,0.9109,66.18,"[78, 22, 4, 196]",0.9165,0.9133,300
35,0.8833,0.8757,59.05,"[65, 35, 0, 200]",0.9007,0.8833,300
36,0.8867,0.8867,51.01,"[83, 17, 17, 183]",0.8867,0.8867,300
37,0.9233,0.9234,72.25,"[89, 11, 12, 188]",0.9235,0.9233,300
38,0.9233,0.9236,51.84,"[90, 10, 13, 187]",0.9241,0.9233,300
39,0.9333,0.9322,34.48,"[84, 16, 4, 196]",0.9345,0.9333,300
40,0.93,0.9282,42.17,"[81, 19, 2, 198]",0.9336,0.93,300
