Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6767,0.556,24.79,"[3, 97, 0, 200]",0.7823,0.6767,300
2,0.3333,0.1667,28.27,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.34,0.1807,25.79,"[100, 0, 198, 2]",0.7785,0.34,300
4,0.3567,0.2198,25.23,"[99, 1, 192, 8]",0.706,0.3567,300
5,0.3333,0.1667,45.09,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,20.08,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,23.13,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,25.27,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.8,0.8057,22.29,"[92, 8, 52, 148]",0.8454,0.8,300
10,0.86,0.8556,25.38,"[69, 31, 11, 189]",0.8602,0.86,300
11,0.8667,0.8582,48.39,"[63, 37, 3, 197]",0.8794,0.8667,300
12,0.7433,0.6866,23.38,"[24, 76, 1, 199]",0.8024,0.7433,300
13,0.92,0.9204,27.6,"[90, 10, 14, 186]",0.9211,0.92,300
