Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,56.4,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,23.25,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,27.47,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,31.67,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3833,0.275,29.21,"[98, 2, 183, 17]",0.7127,0.3833,300
6,0.4967,0.4593,27.85,"[97, 3, 148, 52]",0.7623,0.4967,300
7,0.3333,0.1667,33.67,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,28.52,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,28.04,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.4433,0.3705,27.23,"[100, 0, 167, 33]",0.7915,0.4433,300
11,0.8533,0.8552,42.03,"[84, 16, 28, 172]",0.8599,0.8533,300
12,0.9133,0.9131,29.04,"[86, 14, 12, 188]",0.913,0.9133,300
