Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3667,0.2393,49.78,"[99, 1, 189, 11]",0.7257,0.3667,300
2,0.3667,0.2393,1.01,"[99, 1, 189, 11]",0.7257,0.3667,300
3,0.3667,0.2393,2.01,"[99, 1, 189, 11]",0.7257,0.3667,300
4,0.3667,0.2393,4.94,"[99, 1, 189, 11]",0.7257,0.3667,300
5,0.3667,0.2393,2.01,"[99, 1, 189, 11]",0.7257,0.3667,300
6,0.3667,0.2393,2.01,"[99, 1, 189, 11]",0.7257,0.3667,300
7,0.3667,0.2393,2.01,"[99, 1, 189, 11]",0.7257,0.3667,300
8,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
9,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
10,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
11,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
12,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
13,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
14,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
15,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
16,0.3667,0.2393,1.01,"[99, 1, 189, 11]",0.7257,0.3667,300
17,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
18,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
19,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
20,0.3667,0.2393,1.01,"[99, 1, 189, 11]",0.7257,0.3667,300
21,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
22,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
23,0.3667,0.2393,1.0,"[99, 1, 189, 11]",0.7257,0.3667,300
24,0.3667,0.2393,1.01,"[99, 1, 189, 11]",0.7257,0.3667,300
