Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6633,0.5377,34.31,"[1, 99, 2, 198]",0.5556,0.6633,300
2,0.3333,0.1667,26.93,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.6667,0.5333,25.49,"[0, 100, 0, 200]",0.4444,0.6667,300
4,0.6667,0.5333,57.72,"[0, 100, 0, 200]",0.4444,0.6667,300
5,0.6667,0.5333,49.3,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.6667,0.5333,54.14,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.6667,0.5333,51.64,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.6667,0.5333,49.88,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.6667,0.5333,55.75,"[0, 100, 0, 200]",0.4444,0.6667,300
10,0.6667,0.5333,26.58,"[0, 100, 0, 200]",0.4444,0.6667,300
11,0.3333,0.1667,45.57,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.3333,0.1667,44.47,"[100, 0, 200, 0]",0.1111,0.3333,300
13,0.3333,0.1667,30.88,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.6667,0.5333,59.66,"[0, 100, 0, 200]",0.4444,0.6667,300
15,0.6667,0.5333,58.09,"[0, 100, 0, 200]",0.4444,0.6667,300
16,0.6667,0.5333,52.6,"[0, 100, 0, 200]",0.4444,0.6667,300
17,0.8567,0.844,30.13,"[57, 43, 0, 200]",0.882,0.8567,300
18,0.8767,0.8679,25.71,"[63, 37, 0, 200]",0.8959,0.8767,300
19,0.89,0.8849,32.63,"[70, 30, 3, 197]",0.8982,0.89,300
20,0.5767,0.5619,26.4,"[99, 1, 126, 74]",0.8044,0.5767,300
21,0.78,0.7859,25.09,"[98, 2, 64, 136]",0.8587,0.78,300
22,0.9,0.9009,30.7,"[89, 11, 19, 181]",0.9032,0.9,300
