Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,34.60652173913044,51.925,0.0,1038.3106317934783,1085.5078125,757.703125,2350.561141304348,2929.5625,2149.03515625
2,34.010714285714286,48.2,0.0,1339.0048363095239,1342.65234375,1306.57421875,1309.80078125,1368.33984375,1234.89453125
3,41.58676470588236,48.45,9.5,1377.8384650735295,1380.875,1350.61328125,1116.7486213235295,1188.17578125,1099.6171875
4,40.53750000000001,47.95,1.5,1399.3930121527778,1406.66015625,1378.83984375,1015.8511284722222,1069.94140625,989.6953125
5,43.250000000000014,47.95,21.975,1530.1668198529412,1540.44921875,1414.02734375,771.6854319852941,962.5625,756.67578125
6,44.68333333333332,48.425,35.7,1538.459292763158,1540.65234375,1536.3671875,753.2717927631579,775.46484375,747.20703125
7,43.551470588235304,49.475,38.2,1539.5289522058824,1539.67578125,1537.609375,789.4689797794117,794.5078125,786.890625
8,43.13194444444446,47.95,33.2,1539.642361111111,1541.65234375,1537.6015625,748.9631076388889,763.25,736.1171875
9,43.31764705882353,47.95,25.725,1539.5018382352941,1539.64453125,1537.58203125,770.0806525735294,782.25,767.75
10,34.52142857142858,48.2,0.0,1548.661830357143,1549.26953125,1537.58984375,735.1285342261905,775.3125,680.09765625
11,41.74166666666668,47.45,24.975,1551.014880952381,1551.23828125,1549.16796875,751.3526785714286,788.23046875,740.10546875
12,43.320588235294125,48.2,21.725,1551.1700367647059,1553.1328125,1549.1328125,728.6357996323529,735.734375,725.48046875
13,34.2154761904762,47.95,0.0,1551.1744791666667,1551.35546875,1549.10546875,764.6497395833334,779.7734375,716.39453125
14,41.90277777777779,49.95,17.225,1551.28515625,1553.25,1549.25,764.7109375,783.90234375,754.03515625
15,43.58823529411765,48.2,26.2,1551.1137408088234,1551.26171875,1549.1953125,782.2238051470588,805.3046875,778.61328125
16,42.73750000000001,46.7,32.7,1551.12158203125,1551.2734375,1549.20703125,804.645263671875,811.66015625,797.7890625
17,40.63452380952382,48.7,0.0,1551.2237723214287,1553.21875,1549.1796875,821.5729166666666,836.4609375,803.8515625
18,42.808333333333344,51.175,3.5,1551.072482638889,1551.21484375,1549.14453125,842.1638454861111,850.078125,836.78515625
19,43.847058823529416,48.7,35.175,1551.0055147058824,1551.15234375,1549.0859375,819.0215992647059,828.51171875,815.296875
20,34.615476190476194,48.45,0.0,1551.235863095238,1551.359375,1549.296875,779.0727306547619,792.84765625,700.203125
21,34.11785714285715,48.7,0.0,1551.182849702381,1551.3125,1549.24609375,766.1510416666666,782.06640625,695.2421875
