Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3733,0.2654,53.01,"[96, 4, 184, 16]",0.6476,0.3733,300
2,0.36,0.2584,28.22,"[92, 8, 184, 16]",0.5556,0.36,300
3,0.3333,0.1667,28.3,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,27.48,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,32.22,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,26.91,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,61.38,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,65.39,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,59.73,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8367,0.8222,43.52,"[54, 46, 3, 197]",0.8563,0.8367,300
11,0.68,0.5633,60.54,"[4, 96, 0, 200]",0.7838,0.68,300
12,0.7333,0.7409,26.66,"[87, 13, 67, 133]",0.7956,0.7333,300
13,0.84,0.8438,31.25,"[90, 10, 38, 162]",0.8623,0.84,300
14,0.9267,0.9249,39.37,"[81, 19, 3, 197]",0.9295,0.9267,300
