Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,26.51,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,25.53,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,25.43,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.4333,0.3641,25.25,"[97, 3, 167, 33]",0.7336,0.4333,300
5,0.3333,0.1667,24.74,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,29.67,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,25.44,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.7567,0.7636,24.08,"[90, 10, 63, 137]",0.8174,0.7567,300
9,0.84,0.8438,25.12,"[90, 10, 38, 162]",0.8623,0.84,300
10,0.91,0.9086,25.33,"[81, 19, 8, 192]",0.91,0.91,300
