Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,56.35,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.3333,0.1667,54.34,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,52.38,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.5233,0.5206,49.52,"[81, 19, 124, 76]",0.665,0.5233,300
5,0.3333,0.1667,27.74,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,33.55,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,33.7,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.6667,0.5333,31.32,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.6667,0.5333,29.4,"[0, 100, 0, 200]",0.4444,0.6667,300
10,0.9167,0.9145,30.06,"[79, 21, 4, 196]",0.9194,0.9167,300
