Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,50.83,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.6667,0.5333,35.38,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.3333,0.1667,26.75,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,63.65,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.6667,0.5333,50.71,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.6667,0.5333,34.29,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.3333,0.1667,62.72,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,30.39,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,53.63,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.3333,0.1667,35.51,"[100, 0, 200, 0]",0.1111,0.3333,300
11,0.3333,0.1667,32.52,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.3333,0.1667,28.23,"[100, 0, 200, 0]",0.1111,0.3333,300
13,0.3333,0.1667,57.95,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.3333,0.1667,34.73,"[100, 0, 200, 0]",0.1111,0.3333,300
15,0.3333,0.1667,31.41,"[100, 0, 200, 0]",0.1111,0.3333,300
16,0.6667,0.5333,31.54,"[0, 100, 0, 200]",0.4444,0.6667,300
17,0.3333,0.1667,26.9,"[100, 0, 200, 0]",0.1111,0.3333,300
18,0.3333,0.1667,27.13,"[100, 0, 200, 0]",0.1111,0.3333,300
19,0.3333,0.1667,30.16,"[100, 0, 200, 0]",0.1111,0.3333,300
20,0.3333,0.1667,39.75,"[100, 0, 200, 0]",0.1111,0.3333,300
21,0.3333,0.1667,32.95,"[100, 0, 200, 0]",0.1111,0.3333,300
22,0.3333,0.1667,28.2,"[100, 0, 200, 0]",0.1111,0.3333,300
23,0.3333,0.1667,29.36,"[100, 0, 200, 0]",0.1111,0.3333,300
24,0.8867,0.8795,32.91,"[66, 34, 0, 200]",0.9031,0.8867,300
25,0.88,0.8718,29.81,"[64, 36, 0, 200]",0.8983,0.88,300
