Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,23.05,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.3333,0.1667,16.03,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,17.03,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.5133,0.4987,18.03,"[88, 12, 134, 66]",0.6962,0.5133,300
5,0.3333,0.1667,22.03,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,22.03,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,22.03,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.34,0.1863,17.03,"[99, 1, 197, 3]",0.6115,0.34,300
9,0.7667,0.7692,22.04,"[70, 30, 40, 160]",0.7735,0.7667,300
10,0.8267,0.8139,20.04,"[55, 45, 7, 193]",0.8363,0.8267,300
11,0.86,0.8489,23.03,"[59, 41, 1, 199]",0.8806,0.86,300
12,0.8667,0.8561,22.03,"[60, 40, 0, 200]",0.8889,0.8667,300
13,0.9067,0.9037,22.04,"[76, 24, 4, 196]",0.9106,0.9067,300
