Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,30.47,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,23.7,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,26.14,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,26.3,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,25.55,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,29.52,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.36,0.2214,28.84,"[100, 0, 192, 8]",0.7808,0.36,300
8,0.8067,0.8027,25.64,"[64, 36, 22, 178]",0.8026,0.8067,300
9,0.7533,0.7491,26.04,"[57, 43, 31, 169]",0.7474,0.7533,300
10,0.8,0.8054,27.07,"[88, 12, 48, 152]",0.8336,0.8,300
11,0.9,0.8972,33.67,"[76, 24, 6, 194]",0.9022,0.9,300
12,0.9067,0.9021,28.05,"[72, 28, 0, 200]",0.9181,0.9067,300
