Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,40.821666666666665,46.2,19.225,962.47734375,1024.0390625,636.08203125,3029.03046875,3634.984375,2913.05078125
2,30.572619047619046,46.95,0.0,1052.821800595238,1052.86328125,1052.671875,2535.1579241071427,2617.95703125,2499.765625
3,42.825,49.225,8.5,1076.321875,1080.1171875,1059.86328125,2357.70546875,2385.2890625,2348.15234375
4,45.023611111111116,48.7,40.2,1101.1098090277778,1104.28125,1080.01953125,2245.056640625,2344.5546875,2197.15234375
5,44.630263157894746,48.2,27.975,1202.7798108552631,1247.3359375,1111.03515625,2099.1358963815787,2191.70703125,2049.984375
6,44.64166666666668,48.45,26.0,1229.818142361111,1229.87109375,1229.47265625,2051.1555989583335,2060.4921875,2045.08984375
7,37.83095238095239,48.95,0.0,1240.681361607143,1240.72265625,1240.625,2035.1488095238096,2042.5,2030.7890625
8,35.689285714285724,48.2,0.0,1247.686011904762,1247.75,1247.46484375,2007.9817708333333,2015.84375,1995.12890625
9,38.050000000000004,49.475,18.475,1250.208984375,1253.82421875,1247.68359375,1925.764453125,1936.6484375,1920.875
10,44.809722222222234,49.45,26.5,1266.6165364583333,1267.015625,1260.78125,1906.2230902777778,1914.6328125,1904.15625
