Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,40.5548076923077,48.95,1.0,949.5860877403846,997.23046875,652.10546875,2723.7029747596152,3277.1171875,2633.15625
2,42.09218750000001,45.7,30.7,1044.9140625,1048.85546875,1014.39453125,2290.706787109375,2357.60546875,2281.3828125
3,39.86315789473686,45.7,22.475,1079.9068667763158,1083.42578125,1058.73828125,2069.8988486842104,2126.69921875,2060.55859375
4,43.17500000000002,48.95,30.95,1223.6792763157894,1232.19140625,1090.37890625,1763.330386513158,2029.265625,1741.8359375
5,35.57976190476192,47.2,0.0,1236.067894345238,1236.421875,1230.1640625,1751.3932291666667,1760.3046875,1738.25
6,34.13928571428571,48.425,0.0,1242.4840029761904,1244.7578125,1236.32421875,1722.0760788690477,1740.49609375,1711.62109375
7,43.121052631578955,48.45,28.2,1240.7356085526317,1240.76171875,1240.69921875,1717.8900082236842,1720.3046875,1715.828125
8,43.180000000000014,48.425,12.475,1231.4611328125,1233.4140625,1229.37890625,1721.7279296875,1729.47265625,1715.16796875
9,42.74861111111112,47.45,0.25,1226.622012867647,1226.8359375,1224.3984375,1667.3522518382354,1671.796875,1664.3359375
10,43.58235294117648,46.45,20.475,1251.760799632353,1252.48828125,1240.8359375,1629.4324448529412,1646.1796875,1626.640625
11,43.086904761904776,50.7,25.075,1258.0548735119048,1259.3828125,1250.43359375,1606.0119047619048,1626.015625,1601.453125
12,42.780555555555566,48.225,7.5,1261.2651909722222,1261.42578125,1259.26953125,1532.2415364583333,1541.09375,1529.32421875
13,33.22380952380953,47.7,0.0,1244.5779389880952,1244.69140625,1244.265625,1536.5567336309523,1539.47265625,1534.04296875
14,31.867857142857144,48.2,0.0,1257.0693824404761,1257.203125,1255.13671875,1518.646949404762,1521.59765625,1517.10546875
15,43.54666666666667,46.2,38.475,1262.1328125,1262.19921875,1261.93359375,1509.54765625,1511.76953125,1507.33984375
