Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,28.78636363636364,48.2,0.0,936.3529829545455,970.9140625,637.72265625,3021.2379261363635,3594.26953125,2921.0625
2,43.97833333333334,49.45,15.975,1032.0533854166667,1036.94140625,991.98828125,2615.4109375,2669.4296875,2608.3203125
3,44.506666666666675,48.45,36.725,1070.8994791666667,1077.41796875,1046.796875,2407.95390625,2467.90625,2383.25
4,43.26527777777779,51.45,1.25,1210.691189236111,1223.609375,1084.203125,2195.888237847222,2363.2421875,2173.1328125
5,42.907352941176484,48.45,1.5,1205.7290900735295,1205.78515625,1205.52734375,2081.764476102941,2187.73046875,2068.69921875
6,45.12666666666667,47.525,35.2,1229.5471354166666,1229.96875,1226.5546875,2033.4401041666667,2053.03515625,2029.375
7,35.07261904761905,49.95,0.0,1221.146949404762,1221.19921875,1221.02734375,2022.7518601190477,2032.05859375,2019.75
8,44.13333333333334,46.95,22.725,1223.0161458333334,1223.171875,1221.09765625,2016.8630208333334,2021.984375,2013.99609375
9,45.98125000000001,48.725,40.7,1218.834716796875,1220.03515625,1213.75390625,1946.63916015625,1955.5703125,1942.61328125
10,45.52812500000001,48.45,41.45,1242.68701171875,1243.31640625,1233.82421875,1921.5029296875,1934.76953125,1917.10546875
11,43.36323529411766,48.45,15.225,1234.9312959558824,1235.44921875,1227.28515625,1926.284237132353,1939.16015625,1921.0625
12,43.956250000000004,49.2,13.975,1244.09619140625,1244.25390625,1241.94140625,1838.502685546875,1841.23828125,1832.11328125
