Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,41.71666666666668,48.45,12.5,1079.0974702380952,1128.765625,807.7421875,2546.8126860119046,3084.89453125,2442.9609375
2,43.53157894736844,47.2,12.225,1392.864925986842,1397.9609375,1363.4765625,1448.8634868421052,1511.921875,1435.33984375
3,43.50833333333334,47.7,14.475,1399.900390625,1403.3671875,1377.1015625,1327.3587239583333,1389.0234375,1315.90234375
4,45.04722222222223,47.95,39.225,1512.9010416666667,1544.86328125,1402.921875,1080.5321180555557,1300.62109375,1040.9453125
5,34.05108695652175,48.45,3.25,1553.675441576087,1556.38671875,1546.328125,998.7150135869565,1018.87890625,985.68359375
6,42.87500000000001,47.775,1.0,1555.3842516447369,1555.6171875,1555.15625,965.2314967105264,967.4140625,964.33203125
7,44.28333333333334,49.7,29.2,1557.7430555555557,1557.875,1555.81640625,967.3567708333334,975.8203125,962.3125
8,44.530882352941184,49.45,24.975,1555.9214154411766,1555.9453125,1555.8828125,950.8407628676471,955.859375,947.96875
9,42.973529411764716,48.45,2.75,1558.4159007352941,1558.5546875,1556.4921875,877.8897058823529,890.0234375,873.8125
10,45.689705882352946,49.45,31.225,1598.4216452205883,1600.73046875,1591.421875,783.5080422794117,789.484375,778.8828125
11,43.73750000000001,49.95,25.1,1576.958203125,1578.33984375,1567.7265625,764.5875,773.98828125,761.28515625
12,43.42205882352942,47.45,9.25,1571.7980238970588,1571.81640625,1571.7578125,695.13671875,700.07421875,690.0703125
13,44.24705882352942,47.45,20.725,1573.6038602941176,1573.84375,1571.53125,680.5409007352941,686.21484375,677.203125
14,43.827941176470596,50.45,12.975,1571.9487591911766,1571.97265625,1571.91015625,690.4041819852941,694.34375,684.2890625
15,36.70595238095239,49.2,0.0,1575.6447172619048,1575.78125,1573.4609375,664.6110491071429,673.0234375,610.921875
16,35.02142857142858,47.95,0.0,1572.322544642857,1574.15625,1572.09765625,661.4743303571429,675.66796875,564.25390625
17,44.35000000000001,47.95,37.475,1574.9710477941176,1575.109375,1573.046875,669.3922334558823,687.5625,639.10546875
18,37.74404761904763,48.45,0.0,1578.1223958333333,1580.04296875,1577.953125,669.0571056547619,679.37890625,600.16796875
19,43.3013888888889,48.7,23.725,1583.8585069444443,1583.9921875,1581.9296875,642.1328125,650.96875,632.5234375
20,34.54166666666667,47.2,0.0,1573.37890625,1573.40625,1573.33984375,653.3223586309524,670.84375,579.7265625
21,33.011904761904766,47.45,0.0,1577.9395461309523,1578.09765625,1575.9609375,639.589099702381,657.015625,581.5859375
22,43.29218750000001,46.2,39.2,1583.541259765625,1584.30859375,1582.2578125,638.62060546875,672.62890625,625.6015625
23,43.78333333333334,48.95,24.225,1558.4131944444443,1558.546875,1556.484375,652.705078125,663.75390625,648.59375
24,42.76617647058824,46.425,14.225,1556.8377757352941,1558.60546875,1556.56640625,640.4839154411765,654.34375,632.734375
25,43.2328125,47.725,18.475,1559.669921875,1559.81640625,1557.75390625,634.88671875,643.609375,629.62890625
