Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6067,0.6177,27.11,"[69, 31, 87, 113]",0.6706,0.6067,300
2,0.3333,0.1667,27.54,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,23.77,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,26.23,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,24.55,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,25.51,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,30.14,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,26.18,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,26.12,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8467,0.8494,25.23,"[86, 14, 32, 168]",0.8583,0.8467,300
11,0.8167,0.8211,51.59,"[87, 13, 42, 158]",0.8408,0.8167,300
12,0.9033,0.8984,27.06,"[71, 29, 0, 200]",0.9156,0.9033,300
13,0.8767,0.8747,27.1,"[76, 24, 13, 187]",0.8755,0.8767,300
14,0.8333,0.8377,26.82,"[92, 8, 42, 158]",0.8634,0.8333,300
15,0.9367,0.9355,26.67,"[84, 16, 3, 197]",0.9384,0.9367,300
