Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,41.19125000000001,47.7,14.475,1014.145703125,1065.2734375,741.94140625,2773.131640625,3294.52734375,2666.51953125
2,45.10416666666668,49.2,35.95,1312.5366753472222,1317.38671875,1287.07421875,1708.5967881944443,1758.81640625,1697.859375
3,41.48026315789474,47.7,0.0,1349.0787760416667,1351.2109375,1325.1484375,1534.3109809027778,1568.91015625,1523.390625
4,44.05441176470589,47.45,38.175,1401.8926930147059,1423.4296875,1361.90625,1437.922794117647,1513.640625,1408.0234375
5,42.788235294117655,46.95,23.225,1503.0999540441176,1508.09765625,1423.390625,1261.3648897058824,1365.93359375,1245.76171875
6,37.065476190476204,46.95,0.0,1513.013206845238,1513.28125,1510.99609375,1140.3638392857142,1232.81640625,1087.67578125
7,43.17500000000001,46.45,16.725,1514.320529513889,1514.33984375,1514.28515625,1085.6338975694443,1092.91015625,1082.3671875
8,43.63676470588236,48.45,14.975,1514.8828125,1514.90234375,1514.8515625,1064.3743106617646,1080.32421875,1049.34375
9,44.43676470588236,49.45,22.475,1516.715762867647,1516.85546875,1514.80078125,904.6454503676471,917.1484375,899.56640625
10,35.99642857142858,49.7,0.0,1527.8409598214287,1528.546875,1514.78515625,954.9432663690476,957.90234375,953.3046875
11,35.29204545454546,55.7,0.0,1535.8492542613637,1535.875,1535.82421875,927.0907315340909,938.98828125,883.15625
12,44.519444444444446,49.15,23.975,1535.84375,1535.86328125,1535.80859375,857.5885416666666,862.5234375,854.48046875
13,44.539285714285725,48.2,34.95,1536.1590401785713,1536.33203125,1535.76953125,815.3478422619048,825.8671875,810.67578125
14,42.126562500000006,48.2,0.75,1536.25341796875,1536.27734375,1536.22265625,822.156982421875,834.1953125,816.12890625
15,36.478571428571435,49.45,0.0,1538.107886904762,1538.23046875,1536.17578125,795.0013020833334,807.03515625,746.67578125
16,34.05833333333334,48.5,0.0,1536.1895461309523,1536.21875,1536.16015625,790.8634672619048,815.31640625,747.765625
17,34.89125,48.2,19.725,1536.1359375,1536.15234375,1536.1015625,789.3640625,795.26953125,786.94140625
18,44.98055555555557,53.175,34.95,1536.09765625,1536.12109375,1536.06640625,741.1998697916666,812.08203125,734.78515625
19,47.97833333333334,55.425,31.975,1536.0572916666667,1536.078125,1536.0234375,753.9372395833333,755.421875,753.21875
20,44.420833333333334,47.45,28.225,1536.2604166666667,1536.28125,1536.2265625,729.2903645833334,734.54296875,725.1484375
21,44.61805555555557,49.95,35.45,1536.2141927083333,1536.234375,1536.18359375,795.7693142361111,803.015625,740.87109375
22,44.1014705882353,47.45,19.725,1536.1615349264705,1536.18359375,1536.12890625,701.6137408088235,715.62109375,698.4921875
23,44.18529411764707,48.2,20.975,1536.135799632353,1536.15234375,1536.1015625,771.9508272058823,779.9140625,768.6171875
24,45.13382352941177,48.45,37.975,1536.0682444852941,1536.08984375,1536.03515625,782.6514246323529,788.88671875,780.48828125
25,44.62500000000001,47.95,33.45,1537.8802849264705,1538.01953125,1535.96484375,688.4811580882352,694.3984375,686.30078125
