Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3433,0.2454,23.04,"[88, 12, 185, 15]",0.4778,0.3433,300
2,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
3,0.3433,0.2454,1.01,"[88, 12, 185, 15]",0.4778,0.3433,300
4,0.3433,0.2454,1.01,"[88, 12, 185, 15]",0.4778,0.3433,300
5,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
6,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
7,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
8,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
9,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
10,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
11,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
12,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
13,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
14,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
15,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
16,0.3433,0.2454,1.01,"[88, 12, 185, 15]",0.4778,0.3433,300
17,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
18,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
19,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
20,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
21,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
22,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
23,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
24,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
25,0.3433,0.2454,1.0,"[88, 12, 185, 15]",0.4778,0.3433,300
