Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,42.332352941176474,47.2,25.225,1016.0955882352941,1060.2421875,735.0234375,2752.255055147059,3290.43359375,2659.5859375
2,43.43676470588236,49.45,5.25,1312.8559283088234,1314.8515625,1283.75,1656.8828125,1725.03515625,1648.91796875
3,45.888235294117656,49.2,42.2,1350.2566636029412,1353.4296875,1325.39453125,1492.6636029411766,1539.0546875,1480.984375
4,44.03750000000001,48.95,15.225,1433.230685763889,1487.265625,1353.0703125,1313.4676649305557,1443.06640625,1254.98046875
5,36.96785714285715,47.95,0.0,1508.3231026785713,1508.9296875,1496.859375,1082.8515625,1195.08984375,1013.8359375
6,44.361764705882365,49.2,32.7,1501.3733915441176,1501.57421875,1501.28515625,1045.5606617647059,1056.36328125,1038.61328125
7,43.900000000000006,48.45,12.225,1501.0171440972222,1501.0390625,1500.9765625,1015.7493489583334,1019.015625,1005.5859375
8,39.216666666666676,55.425,0.0,1501.637462797619,1503.515625,1501.3203125,1001.2392113095239,1012.4140625,941.1484375
9,40.34285714285715,48.2,0.0,1501.5831473214287,1503.5,1501.453125,920.0416666666666,930.29296875,846.484375
10,43.65131578947369,49.95,1.0,1512.1823601973683,1514.67578125,1501.16796875,889.3534128289474,900.40625,886.8515625
11,22.25174418604652,48.95,0.0,1520.5366097383721,1520.953125,1512.890625,844.8758175872093,912.19140625,796.54296875
12,44.112500000000004,48.95,30.725,1523.3998325892858,1523.42578125,1523.36328125,834.1063058035714,840.3203125,831.71875
13,44.688157894736854,49.2,27.95,1520.6106085526317,1520.73046875,1520.421875,859.7339638157895,862.48828125,856.20703125
