Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,24.77,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,25.39,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,23.78,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3633,0.2279,23.28,"[100, 0, 191, 9]",0.7812,0.3633,300
5,0.3333,0.1667,22.62,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,25.15,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.4367,0.3596,23.28,"[100, 0, 169, 31]",0.7906,0.4367,300
8,0.7867,0.7924,25.2,"[86, 14, 50, 150]",0.8205,0.7867,300
9,0.5567,0.5381,25.17,"[98, 2, 131, 69]",0.7905,0.5567,300
10,0.84,0.8329,25.87,"[63, 37, 11, 189]",0.8413,0.84,300
11,0.8567,0.8589,39.59,"[86, 14, 29, 171]",0.8655,0.8567,300
12,0.8667,0.8624,27.37,"[70, 30, 10, 190]",0.8674,0.8667,300
13,0.92,0.9178,26.28,"[79, 21, 3, 197]",0.9236,0.92,300
