Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.4233,0.3512,39.47,"[96, 4, 169, 31]",0.7112,0.4233,300
2,0.3333,0.1667,44.01,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,39.21,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,33.09,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,27.18,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,39.0,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,44.27,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,68.7,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.5233,0.5155,39.4,"[85, 15, 128, 72]",0.6847,0.5233,300
10,0.7167,0.7189,71.78,"[61, 39, 46, 154]",0.722,0.7167,300
11,0.4367,0.3694,114.28,"[97, 3, 166, 34]",0.7356,0.4367,300
12,0.8833,0.8763,28.06,"[66, 34, 1, 199]",0.8977,0.8833,300
13,0.9033,0.9027,35.06,"[83, 17, 12, 188]",0.9026,0.9033,300
