Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.5067,0.4832,53.64,"[92, 8, 140, 60]",0.7204,0.5067,300
2,0.3333,0.1667,52.42,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,61.14,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.4467,0.3759,39.73,"[100, 0, 166, 34]",0.792,0.4467,300
5,0.3333,0.1667,58.51,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,30.26,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.7867,0.7843,25.0,"[64, 36, 28, 172]",0.7832,0.7867,300
8,0.86,0.855,39.31,"[68, 32, 10, 190]",0.8612,0.86,300
9,0.81,0.7932,33.48,"[50, 50, 7, 193]",0.8219,0.81,300
10,0.82,0.8012,29.1,"[49, 51, 3, 197]",0.8437,0.82,300
11,0.8633,0.8521,36.05,"[59, 41, 0, 200]",0.8866,0.8633,300
12,0.92,0.9191,24.98,"[84, 16, 8, 192]",0.9197,0.92,300
