Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,64.13,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,36.04,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,48.52,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,34.47,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,31.67,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,58.46,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,27.41,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.6667,0.5333,22.59,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.3333,0.1667,29.57,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.88,0.8757,60.66,"[71, 29, 7, 193]",0.883,0.88,300
11,0.9167,0.9156,64.27,"[83, 17, 8, 192]",0.9165,0.9167,300
