Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.72,0.65,28.4,"[18, 82, 2, 198]",0.7714,0.72,300
2,0.3333,0.1667,29.13,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.6267,0.6284,24.35,"[46, 54, 58, 142]",0.6304,0.6267,300
4,0.5567,0.566,29.91,"[71, 29, 104, 96]",0.6472,0.5567,300
5,0.3333,0.1667,27.46,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,28.72,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,27.37,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,28.38,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.76,0.7514,62.59,"[53, 47, 25, 175]",0.752,0.76,300
10,0.8167,0.7943,52.53,"[46, 54, 1, 199]",0.8506,0.8167,300
11,0.8633,0.8529,63.56,"[60, 40, 1, 199]",0.883,0.8633,300
12,0.6267,0.6283,50.36,"[92, 8, 104, 96]",0.7718,0.6267,300
