Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,37.23,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,47.74,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,28.11,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.55,0.5327,52.67,"[96, 4, 131, 69]",0.7711,0.55,300
5,0.69,0.5845,59.59,"[7, 93, 0, 200]",0.7884,0.69,300
6,0.62,0.6209,63.41,"[44, 56, 58, 142]",0.6219,0.62,300
7,0.7033,0.7063,55.03,"[60, 40, 49, 151]",0.7105,0.7033,300
8,0.8133,0.7939,48.84,"[48, 52, 4, 196]",0.8346,0.8133,300
9,0.84,0.8282,35.21,"[57, 43, 5, 195]",0.8527,0.84,300
10,0.8733,0.864,51.81,"[62, 38, 0, 200]",0.8936,0.8733,300
11,0.9367,0.935,60.58,"[82, 18, 1, 199]",0.9407,0.9367,300
