Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,66.32,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,54.94,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,29.44,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,27.11,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.6667,0.5333,27.36,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.6667,0.5333,47.32,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.3333,0.1667,32.16,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,33.88,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,28.87,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8633,0.855,29.27,"[63, 37, 4, 196]",0.8742,0.8633,300
11,0.88,0.8736,35.09,"[67, 33, 3, 197]",0.8901,0.88,300
12,0.9167,0.9156,26.36,"[83, 17, 8, 192]",0.9165,0.9167,300
