Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,42.1109375,48.125,22.975,935.37744140625,979.23828125,647.02734375,2047.421630859375,2586.73828125,1955.8515625
2,44.885000000000005,48.2,23.975,1032.6674479166666,1036.71875,993.2265625,1626.4200520833333,1686.76171875,1617.1015625
3,45.120312500000004,48.95,28.725,1073.342041015625,1076.171875,1047.8125,1418.764892578125,1476.24609375,1407.1953125
4,44.300000000000004,47.925,22.975,1120.7580422794117,1125.11328125,1081.140625,1289.03125,1390.94921875,1213.35546875
5,37.151190476190486,48.2,0.0,1207.5165550595239,1213.55078125,1121.08203125,1119.2408854166667,1218.98046875,1104.73046875
6,33.78571428571429,49.425,0.0,1233.663318452381,1235.9296875,1211.49609375,1089.989769345238,1107.80078125,1082.98828125
7,33.75952380952381,48.2,0.0,1214.295200892857,1214.890625,1212.84375,1106.154575892857,1125.125,1090.96484375
8,44.8421875,48.45,30.475,1239.2802734375,1240.24609375,1226.71875,1059.42041015625,1071.48046875,1054.86328125
9,45.772499999999994,49.925,29.975,1245.262109375,1245.41015625,1243.21875,986.3240234375,997.52734375,979.98828125
10,45.12763157894739,47.7,35.7,1247.2613075657894,1247.5234375,1243.31640625,949.4434621710526,964.69921875,943.6328125
11,44.43000000000002,49.45,25.1,1253.1185546875,1254.3828125,1243.44921875,923.4736328125,934.45703125,918.84375
12,43.69722222222222,47.95,13.0,1256.0889756944443,1256.33203125,1252.28125,880.9505208333334,890.69921875,878.8359375
13,34.61190476190476,49.925,0.0,1246.7527901785713,1247.421875,1245.0859375,861.21875,865.2578125,857.25390625
