Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,41.780882352941184,50.95,4.5,1018.7272518382352,1061.8671875,732.3671875,2686.7541360294117,3241.7421875,2602.85546875
2,43.163157894736855,49.95,5.25,1293.2082648026317,1296.23046875,1270.23046875,1642.115542763158,1697.8828125,1629.69140625
3,36.858333333333334,48.975,0.0,1343.5864955357142,1350.8359375,1302.78515625,1407.8020833333333,1486.90234375,1321.58984375
4,34.696428571428584,50.5,0.0,1372.580543154762,1376.5859375,1348.53515625,1246.1162574404761,1375.9765625,1208.578125
5,45.1888888888889,47.225,42.7,1477.7610677083333,1486.8203125,1366.59765625,1068.120876736111,1185.9921875,1055.23046875
6,44.59868421052633,49.45,21.225,1484.9220805921052,1486.78515625,1484.73046875,1048.2294407894738,1049.58984375,1046.1484375
7,46.076315789473696,48.7,35.95,1495.1504934210527,1495.28125,1493.21875,1033.4518914473683,1045.0859375,953.18359375
8,44.02375,48.7,14.25,1485.2078125,1485.234375,1485.1640625,1040.755078125,1043.09765625,1038.6328125
9,44.79523809523811,48.8,18.475,1497.0009300595239,1498.7109375,1494.671875,968.3175223214286,976.74609375,965.38671875
10,42.329687500000006,48.7,0.25,1496.375732421875,1496.5390625,1494.9609375,947.875244140625,951.46875,946.453125
11,43.42954545454546,49.175,24.725,1505.520596590909,1506.8671875,1495.80859375,948.8423295454545,977.203125,938.9453125
12,43.91944444444445,50.2,7.75,1510.6844618055557,1510.70703125,1510.64453125,869.2452256944445,871.0,868.09375
13,43.9592105263158,50.725,3.0,1512.2138157894738,1514.30078125,1510.046875,846.7707648026316,856.6796875,743.68359375
14,39.729761904761915,49.95,0.0,1507.447730654762,1507.4765625,1507.41015625,857.3396577380952,865.97265625,805.94140625
15,43.67894736842106,48.95,0.0,1508.6759868421052,1510.71875,1505.90625,844.1134868421053,852.66015625,776.46484375
16,43.327631578947376,47.95,0.25,1510.512541118421,1510.53515625,1510.47265625,862.557771381579,869.79296875,857.95703125
17,45.209722222222226,48.95,40.7,1516.497829861111,1516.63671875,1514.56640625,842.5438368055555,848.421875,839.578125
18,44.35789473684212,48.2,10.475,1505.629728618421,1505.65234375,1505.58984375,832.9337993421053,836.23828125,828.60546875
