Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,32.46,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,31.17,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,27.5,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,25.12,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,31.6,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3933,0.3009,31.99,"[96, 4, 178, 22]",0.6809,0.3933,300
7,0.3933,0.2846,50.02,"[100, 0, 182, 18]",0.7849,0.3933,300
8,0.6967,0.704,59.55,"[89, 11, 80, 120]",0.7862,0.6967,300
9,0.59,0.5913,51.4,"[87, 13, 110, 90]",0.7297,0.59,300
10,0.7733,0.7795,49.86,"[85, 15, 53, 147]",0.8103,0.7733,300
11,0.9033,0.9018,64.31,"[80, 20, 9, 191]",0.9031,0.9033,300
