Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,37.754761904761914,47.95,11.475,1075.4918154761904,1128.5703125,782.0390625,2364.3225446428573,2930.0546875,2219.13671875
2,44.27968750000001,47.95,37.7,1327.220703125,1341.63671875,1321.296875,1324.46435546875,1368.33984375,1302.7421875
3,41.52058823529413,48.675,6.75,1367.1353400735295,1375.96875,1349.91015625,1116.7486213235295,1188.17578125,1099.6171875
4,34.602380952380955,47.925,0.0,1413.328869047619,1421.2265625,1371.94921875,1011.8534226190476,1069.94140625,966.06640625
5,43.30441176470589,48.95,10.475,1498.960018382353,1505.4609375,1419.1796875,771.6256893382352,961.44921875,756.77734375
6,38.46190476190477,48.2,0.0,1518.603980654762,1519.64453125,1503.5859375,751.4778645833334,775.46484375,710.234375
7,35.43333333333334,49.2,0.0,1519.520275297619,1520.0234375,1517.97265625,780.9685639880952,794.5078125,703.7734375
8,43.3263888888889,49.7,33.2,1522.1223958333333,1522.3671875,1518.30859375,748.9631076388889,763.25,736.1171875
9,34.83809523809524,47.7,0.0,1521.938244047619,1524.328125,1520.28515625,760.676525297619,782.25,672.60546875
10,43.8029411764706,48.2,33.475,1534.0562959558824,1534.8515625,1521.6328125,742.7339154411765,775.3125,735.23046875
11,41.49642857142859,46.175,24.575,1549.3692336309523,1550.9453125,1538.69921875,751.352306547619,788.23046875,740.10546875
12,44.38235294117648,49.175,38.45,1548.7614889705883,1548.90234375,1546.8515625,728.6357996323529,735.734375,725.48046875
13,44.35937500000001,47.125,35.475,1553.1220703125,1553.36328125,1551.0859375,772.56396484375,779.7734375,769.0546875
14,34.60119047619048,47.95,0.0,1552.818824404762,1553.3203125,1551.265625,759.0864955357143,783.90234375,699.8046875
15,43.50882352941177,48.2,13.475,1554.1256893382354,1554.265625,1552.2109375,782.078125,805.3046875,778.61328125
16,32.94880952380953,47.7,0.0,1552.6768973214287,1553.2734375,1551.21875,797.2911086309524,814.86328125,742.5390625
17,42.376190476190494,51.2,28.475,1555.9720982142858,1556.17578125,1552.12890625,821.4678199404761,836.4609375,803.8515625
18,44.288235294117655,49.45,32.225,1556.5027573529412,1556.640625,1554.58984375,841.6982996323529,848.66015625,836.78515625
19,36.091666666666676,47.95,0.0,1555.283668154762,1555.7421875,1553.69140625,812.6919642857143,828.51171875,763.28125
20,42.63382352941177,48.45,24.725,1555.8756893382354,1557.88671875,1553.83984375,787.0374540441177,798.86328125,780.56640625
21,44.673437500000006,48.95,31.75,1558.498046875,1558.76953125,1554.71875,776.09326171875,782.06640625,773.25
