Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6833,0.5705,81.51,"[5, 95, 0, 200]",0.7853,0.6833,300
2,0.72,0.6429,50.03,"[16, 84, 0, 200]",0.8028,0.72,300
3,0.6233,0.634,51.3,"[65, 35, 78, 122]",0.6696,0.6233,300
4,0.57,0.5653,47.43,"[90, 10, 119, 81]",0.7369,0.57,300
5,0.3333,0.1667,59.73,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,43.27,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,52.7,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,38.33,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,35.78,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8167,0.793,54.77,"[45, 55, 0, 200]",0.8562,0.8167,300
11,0.8733,0.8672,43.88,"[67, 33, 5, 195]",0.8804,0.8733,300
12,0.9133,0.9129,37.29,"[85, 15, 11, 189]",0.9128,0.9133,300
