Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,33.0,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,28.42,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.5667,0.5636,25.86,"[88, 12, 118, 82]",0.724,0.5667,300
4,0.6467,0.6566,27.31,"[68, 32, 74, 126]",0.6913,0.6467,300
5,0.6667,0.5333,66.97,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.3333,0.1667,58.41,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,27.58,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,28.34,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,29.91,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.91,0.9099,25.88,"[86, 14, 13, 187]",0.9098,0.91,300
