Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,39.713750000000005,47.325,4.75,1038.660546875,1091.59375,757.11328125,2658.094140625,3174.10546875,2554.93359375
2,44.392187500000006,49.2,30.175,1339.3759765625,1342.1640625,1312.03515625,1564.32568359375,1623.28125,1551.1328125
3,42.82941176470589,51.45,30.725,1385.5739889705883,1392.87890625,1360.82421875,1373.9402573529412,1423.01953125,1333.7109375
4,40.84583333333334,48.1,0.5,1440.447482638889,1515.56640625,1391.44921875,1216.1842447916667,1317.28515625,1125.45703125
5,34.10119047619048,47.7,0.0,1529.155505952381,1531.3671875,1515.3125,1014.7129836309524,1063.1171875,946.99609375
6,34.83214285714286,47.7,0.0,1531.510230654762,1531.78125,1529.4921875,987.718005952381,1001.72265625,938.73828125
7,39.99705882352942,47.2,25.2,1531.680606617647,1531.81640625,1529.765625,943.1525735294117,961.71484375,925.2265625
8,37.123913043478275,46.2,19.225,1529.7437160326087,1529.765625,1529.7109375,950.4485394021739,979.76171875,910.23046875
9,41.4765625,47.225,29.725,1533.44091796875,1533.70703125,1529.66015625,860.890380859375,867.0625,836.52734375
10,33.54642857142858,47.45,0.0,1547.5576636904761,1548.41015625,1531.125,815.2174479166666,851.1484375,714.4140625
11,37.53229166666668,45.45,23.225,1551.5367838541667,1551.8828125,1548.59375,813.2464192708334,827.70703125,794.3671875
12,39.38888888888889,47.45,7.475,1549.8511284722222,1549.875,1549.8203125,778.7981770833334,789.765625,769.2890625
13,41.94605263157896,48.2,34.2,1551.8513569078948,1552.08203125,1549.7734375,758.6079358552631,783.30859375,744.39453125
14,35.636904761904766,48.95,0.0,1550.018043154762,1550.046875,1549.98828125,778.8309151785714,791.23046875,709.07421875
