Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.7,0.6445,52.57,"[21, 79, 11, 189]",0.6889,0.7,300
2,0.6633,0.67,28.2,"[60, 40, 61, 139]",0.683,0.6633,300
3,0.3333,0.1667,27.53,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,26.57,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,27.99,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,27.72,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,28.61,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,30.14,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,28.21,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8033,0.8088,52.4,"[90, 10, 49, 151]",0.8411,0.8033,300
11,0.9367,0.9355,61.44,"[84, 16, 3, 197]",0.9384,0.9367,300
