Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.62,0.6286,23.97,"[56, 44, 70, 130]",0.6462,0.62,300
2,0.3333,0.1667,24.97,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,22.04,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,19.95,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,22.03,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,24.96,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,21.96,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.6033,0.5979,16.02,"[96, 4, 115, 85]",0.7884,0.6033,300
9,0.74,0.7472,19.95,"[90, 10, 68, 132]",0.8096,0.74,300
10,0.7233,0.649,25.96,"[17, 83, 0, 200]",0.8045,0.7233,300
11,0.9367,0.9357,46.15,"[85, 15, 4, 196]",0.9376,0.9367,300
