Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,37.694791666666674,46.425,24.725,986.8011067708334,1063.06640625,705.51953125,2332.0680338541665,2929.1796875,2173.9453125
2,35.02976190476191,46.45,0.0,1311.5018601190477,1313.30859375,1282.45703125,1165.1636904761904,1228.61328125,1099.43359375
3,42.187500000000014,48.45,29.7,1349.6946614583333,1353.1875,1322.80859375,931.2055121527778,986.1328125,915.09375
4,39.71904761904763,47.2,30.975,1410.986049107143,1469.05078125,1341.625,767.6761532738095,1000.44921875,687.48046875
5,41.63194444444446,47.95,9.5,1491.775607638889,1494.21875,1475.3828125,710.6812065972222,733.1640625,702.56640625
6,35.41071428571429,45.925,0.0,1489.2470238095239,1491.78125,1483.7265625,669.768787202381,733.21875,580.3046875
7,44.02870370370371,53.425,25.55,1450.9799107142858,1453.0,1449.0,635.8095703125,643.90234375,624.07421875
8,37.34144736842106,50.95,15.2,1442.9555921052631,1444.859375,1442.80859375,629.7588404605264,824.3515625,575.46484375
9,30.48357142857144,44.45,9.625,1438.7081801470588,1441.68359375,1435.6015625,805.3517922794117,857.12890625,739.3671875
10,36.91666666666667,54.975,1.75,1457.67041015625,1460.97265625,1451.625,676.01904296875,740.8671875,519.00390625
11,41.44404761904763,51.2,24.125,1487.345238095238,1489.76953125,1459.64453125,586.5626860119048,689.2578125,562.40625
12,36.02857142857143,48.45,0.0,1411.9642857142858,1411.99609375,1411.921875,687.3692336309524,724.98046875,595.7578125
13,42.525000000000006,53.425,29.225,1412.5809461805557,1414.69921875,1410.40234375,652.6664496527778,690.42578125,513.8203125
14,43.22777777777779,48.25,32.45,1410.0110677083333,1410.03125,1409.97265625,625.2513020833334,642.1015625,621.5859375
15,36.063095238095244,46.7,0.0,1413.408668154762,1413.59765625,1410.80078125,548.2393973214286,605.0234375,509.58984375
16,43.505952380952394,47.9,39.45,1411.0349702380952,1412.96875,1410.6640625,635.4693080357143,643.28125,627.0390625
17,40.99404761904763,48.6,22.225,1413.616443452381,1415.5625,1411.5625,740.67578125,785.31640625,659.05078125
18,39.667857142857144,49.1,0.0,1411.540736607143,1413.3984375,1411.3984375,793.5176711309524,803.015625,733.6796875
19,44.12777777777779,49.2,30.225,1413.508029513889,1413.63671875,1411.58203125,780.8519965277778,785.5859375,773.01953125
20,33.95892857142858,48.7,17.925,1411.7513020833333,1413.6796875,1411.625,708.0121837797619,735.27734375,692.8203125
21,42.689285714285724,47.7,27.2,1408.3890269886363,1410.3515625,1406.3515625,711.6979758522727,717.921875,704.76953125
22,42.889473684210536,54.675,26.45,1403.8692434210527,1405.76953125,1403.7265625,709.6034128289474,716.48046875,700.81640625
23,40.8163043478261,52.675,0.5,1406.3772078804348,1406.4921875,1404.42578125,700.9972826086956,708.59375,662.1953125
24,40.44078947368422,47.7,0.25,1403.8773871527778,1405.7734375,1403.7265625,701.4131944444445,705.22265625,699.84765625
25,42.90882352941178,46.95,24.725,1406.3816636029412,1406.51953125,1404.4609375,710.1564797794117,715.6953125,708.171875
