Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,70.03,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6467,0.6551,37.0,"[61, 39, 67, 133]",0.6744,0.6467,300
3,0.3333,0.1667,35.7,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,52.74,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,92.78,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,53.52,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.6667,0.5333,56.31,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.6667,0.5333,87.78,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.3333,0.1667,79.04,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.84,0.8244,68.64,"[53, 47, 1, 199]",0.8665,0.84,300
11,0.9133,0.9106,70.19,"[77, 23, 3, 197]",0.9178,0.9133,300
