Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,41.09166666666667,47.7,11.475,1021.3350694444445,1062.859375,726.8046875,2718.0310329861113,3341.046875,2625.2734375
2,36.69880952380953,48.45,0.0,1297.6099330357142,1300.953125,1282.89453125,1660.4505208333333,1680.8671875,1594.875
3,46.22941176470589,49.95,42.7,1341.2417279411766,1348.31640625,1310.2578125,1459.08203125,1515.59375,1443.71875
4,35.660714285714285,48.7,0.0,1381.1553199404761,1388.9140625,1338.9296875,1207.767113095238,1388.9140625,1123.640625
5,45.02916666666667,47.7,41.7,1472.2291666666667,1478.2578125,1398.03515625,1095.4403211805557,1171.7421875,1082.50390625
6,37.94456521739131,50.625,11.975,1478.4166100543478,1479.296875,1469.01171875,1064.3940217391305,1073.78125,1057.1640625
7,43.75625000000001,49.225,10.0,1476.562890625,1476.5859375,1476.53125,1045.7978515625,1047.53515625,1042.8828125
8,43.1842105263158,48.95,9.0,1492.2033305921052,1494.33203125,1484.27734375,1008.192228618421,1014.796875,1004.2109375
9,44.715277777777786,47.2,41.7,1496.1282552083333,1496.2578125,1494.20703125,918.7096354166666,927.7109375,914.97265625
10,38.25833333333334,46.95,0.0,1504.022693452381,1504.48828125,1495.22265625,895.383556547619,918.140625,830.4609375
