Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,31.82,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,24.47,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,46.48,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,26.25,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,26.44,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,25.87,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,25.39,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.7833,0.7891,25.82,"[85, 15, 50, 150]",0.8159,0.7833,300
9,0.8633,0.8598,25.7,"[71, 29, 12, 188]",0.8627,0.8633,300
10,0.8867,0.8811,26.2,"[69, 31, 3, 197]",0.8955,0.8867,300
11,0.8933,0.8876,32.57,"[69, 31, 1, 199]",0.9054,0.8933,300
12,0.88,0.8787,28.69,"[78, 22, 14, 186]",0.8788,0.88,300
13,0.92,0.9186,27.62,"[82, 18, 6, 194]",0.9207,0.92,300
