Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.7033,0.7057,28.1,"[59, 41, 48, 152]",0.7088,0.7033,300
2,0.5033,0.4825,25.49,"[90, 10, 139, 61]",0.7038,0.5033,300
3,0.3333,0.1667,27.11,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.5933,0.6,25.27,"[80, 20, 102, 98]",0.7002,0.5933,300
5,0.6667,0.5333,22.29,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.6667,0.5333,25.11,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.6667,0.5333,22.1,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.6667,0.5333,22.49,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.6667,0.5333,47.13,"[0, 100, 0, 200]",0.4444,0.6667,300
10,0.8433,0.8423,21.07,"[74, 26, 21, 179]",0.8418,0.8433,300
11,0.8467,0.8317,26.23,"[54, 46, 0, 200]",0.8753,0.8467,300
12,0.9,0.8992,23.42,"[82, 18, 12, 188]",0.8992,0.9,300
13,0.9267,0.9261,23.18,"[86, 14, 8, 192]",0.9263,0.9267,300
