Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3733,0.2932,28.88,"[89, 11, 177, 23]",0.5625,0.3733,300
2,0.3333,0.1667,25.33,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,25.33,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,22.53,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,25.54,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,22.21,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,24.7,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,25.28,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,26.09,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8333,0.836,25.47,"[83, 17, 33, 167]",0.8436,0.8333,300
11,0.8867,0.8821,29.09,"[71, 29, 5, 195]",0.8918,0.8867,300
12,0.8533,0.8399,26.05,"[56, 44, 0, 200]",0.8798,0.8533,300
13,0.87,0.8607,24.72,"[62, 38, 1, 199]",0.8878,0.87,300
14,0.91,0.9083,25.23,"[80, 20, 7, 193]",0.9106,0.91,300
