Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,32.11,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.3333,0.1667,26.2,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,26.4,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.6667,0.5333,23.38,"[0, 100, 0, 200]",0.4444,0.6667,300
5,0.3333,0.1667,23.26,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.6667,0.5333,25.42,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.6667,0.5333,24.11,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.6667,0.5333,26.43,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.3333,0.1667,26.21,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.3333,0.1667,23.32,"[100, 0, 200, 0]",0.1111,0.3333,300
11,0.6667,0.5333,28.36,"[0, 100, 0, 200]",0.4444,0.6667,300
12,0.6667,0.5333,26.09,"[0, 100, 0, 200]",0.4444,0.6667,300
13,0.3333,0.1667,26.06,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.6667,0.5333,27.35,"[0, 100, 0, 200]",0.4444,0.6667,300
15,0.6667,0.5333,27.88,"[0, 100, 0, 200]",0.4444,0.6667,300
16,0.3333,0.1667,23.38,"[100, 0, 200, 0]",0.1111,0.3333,300
17,0.3333,0.1667,26.42,"[100, 0, 200, 0]",0.1111,0.3333,300
18,0.6667,0.5333,26.15,"[0, 100, 0, 200]",0.4444,0.6667,300
19,0.6667,0.5333,26.05,"[0, 100, 0, 200]",0.4444,0.6667,300
20,0.3333,0.1667,26.17,"[100, 0, 200, 0]",0.1111,0.3333,300
21,0.3333,0.1667,26.38,"[100, 0, 200, 0]",0.1111,0.3333,300
22,0.3333,0.1667,22.25,"[100, 0, 200, 0]",0.1111,0.3333,300
23,0.3333,0.1667,27.97,"[100, 0, 200, 0]",0.1111,0.3333,300
24,0.3333,0.1667,46.65,"[100, 0, 200, 0]",0.1111,0.3333,300
25,0.3333,0.1667,26.36,"[100, 0, 200, 0]",0.1111,0.3333,300
