Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,36.93,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,30.39,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,30.5,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,29.57,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,29.18,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,29.53,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,25.15,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,35.73,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,57.4,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.86,0.848,35.74,"[58, 42, 0, 200]",0.8843,0.86,300
11,0.7433,0.6837,39.85,"[23, 77, 0, 200]",0.8147,0.7433,300
12,0.8333,0.8148,68.3,"[50, 50, 0, 200]",0.8667,0.8333,300
13,0.9233,0.9219,86.99,"[82, 18, 5, 195]",0.9245,0.9233,300
