Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,43.53611111111112,48.45,24.95,1047.8472222222222,1091.734375,759.05078125,2701.173394097222,3240.47265625,2615.23046875
2,38.72619047619048,49.2,0.0,1337.5137648809523,1341.89453125,1313.26953125,1633.837611607143,1700.0390625,1572.6796875
3,25.939024390243915,49.05,0.0,1373.729611280488,1375.33984375,1349.09765625,1413.3018292682927,1499.9453125,1313.54296875
4,34.68571428571429,46.95,0.0,1466.5848214285713,1503.70703125,1378.41015625,1205.0818452380952,1335.92578125,1122.40625
5,41.83088235294118,44.95,34.7,1526.1272977941176,1530.26953125,1504.19921875,1058.0843290441176,1185.21484375,1040.96484375
6,41.71447368421053,45.875,15.725,1536.486019736842,1541.32421875,1530.1875,986.4471628289474,996.53515625,978.05859375
7,34.861904761904775,45.7,0.0,1538.6536458333333,1540.67578125,1536.625,947.0630580357143,969.33984375,883.859375
8,42.655882352941184,47.45,8.25,1540.49609375,1540.51953125,1540.45703125,894.5153952205883,896.7734375,892.59765625
9,34.504761904761914,47.2,0.0,1542.4261532738096,1544.39453125,1540.39453125,878.5478050595239,900.640625,833.12109375
10,44.93437500000001,48.95,35.475,1547.853271484375,1548.296875,1547.50390625,841.56884765625,847.2890625,836.2421875
