Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6367,0.647,47.16,"[68, 32, 77, 123]",0.6854,0.6367,300
2,0.3333,0.1667,42.08,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,18.03,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.6567,0.6655,26.07,"[65, 35, 68, 132]",0.6899,0.6567,300
5,0.6667,0.5333,27.07,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.6667,0.5333,22.04,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.6667,0.5333,21.04,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.3333,0.1667,24.06,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,47.14,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.7267,0.6549,44.09,"[18, 82, 0, 200]",0.8061,0.7267,300
11,0.8433,0.8275,31.06,"[53, 47, 0, 200]",0.8731,0.8433,300
12,0.8667,0.8561,22.04,"[60, 40, 0, 200]",0.8889,0.8667,300
13,0.87,0.86,23.04,"[61, 39, 0, 200]",0.8912,0.87,300
14,0.9,0.8947,28.11,"[70, 30, 0, 200]",0.913,0.9,300
15,0.8967,0.8919,29.08,"[71, 29, 2, 198]",0.9057,0.8967,300
16,0.9,0.8947,23.04,"[70, 30, 0, 200]",0.913,0.9,300
17,0.89,0.8833,22.04,"[67, 33, 0, 200]",0.9056,0.89,300
18,0.6667,0.6722,24.05,"[91, 9, 91, 109]",0.7825,0.6667,300
19,0.8067,0.7794,42.07,"[42, 58, 0, 200]",0.8501,0.8067,300
20,0.88,0.873,43.11,"[66, 34, 2, 198]",0.8925,0.88,300
21,0.8633,0.8521,19.04,"[59, 41, 0, 200]",0.8866,0.8633,300
22,0.9033,0.8984,23.05,"[71, 29, 0, 200]",0.9156,0.9033,300
23,0.9233,0.9221,20.04,"[83, 17, 6, 194]",0.9238,0.9233,300
