Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3767,0.2797,56.87,"[94, 6, 181, 19]",0.6206,0.3767,300
2,0.3333,0.1667,24.34,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,26.03,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,30.46,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,65.72,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,61.98,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,27.52,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,28.34,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,72.68,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8633,0.8593,62.08,"[70, 30, 11, 189]",0.8634,0.8633,300
11,0.8367,0.8401,40.67,"[87, 13, 36, 164]",0.8535,0.8367,300
12,0.86,0.8489,36.72,"[59, 41, 1, 199]",0.8806,0.86,300
13,0.8867,0.8861,29.54,"[81, 19, 15, 185]",0.8858,0.8867,300
14,0.8833,0.8763,27.02,"[66, 34, 1, 199]",0.8977,0.8833,300
15,0.91,0.908,28.24,"[79, 21, 6, 194]",0.9114,0.91,300
