Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,38.79,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,29.71,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.3333,0.1667,24.56,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,53.49,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,26.01,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.6667,0.5333,40.05,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.3333,0.1667,52.92,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,62.16,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,61.16,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.3333,0.1667,36.11,"[100, 0, 200, 0]",0.1111,0.3333,300
11,0.3333,0.1667,48.47,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.3333,0.1667,32.68,"[100, 0, 200, 0]",0.1111,0.3333,300
13,0.3333,0.1667,27.18,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.3333,0.1667,25.86,"[100, 0, 200, 0]",0.1111,0.3333,300
15,0.3333,0.1667,34.04,"[100, 0, 200, 0]",0.1111,0.3333,300
16,0.3333,0.1667,29.63,"[100, 0, 200, 0]",0.1111,0.3333,300
17,0.3333,0.1667,33.53,"[100, 0, 200, 0]",0.1111,0.3333,300
18,0.3333,0.1667,28.23,"[100, 0, 200, 0]",0.1111,0.3333,300
19,0.3333,0.1667,35.89,"[100, 0, 200, 0]",0.1111,0.3333,300
20,0.3333,0.1667,65.43,"[100, 0, 200, 0]",0.1111,0.3333,300
21,0.3333,0.1667,35.4,"[100, 0, 200, 0]",0.1111,0.3333,300
22,0.3333,0.1667,28.99,"[100, 0, 200, 0]",0.1111,0.3333,300
23,0.3333,0.1667,35.27,"[100, 0, 200, 0]",0.1111,0.3333,300
24,0.3333,0.1667,27.2,"[100, 0, 200, 0]",0.1111,0.3333,300
25,0.3333,0.1667,27.2,"[100, 0, 200, 0]",0.1111,0.3333,300
