Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,57.22,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.65,0.6581,23.33,"[61, 39, 66, 134]",0.6765,0.65,300
3,0.3333,0.1667,26.09,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,26.88,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,35.67,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,28.3,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,27.46,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,27.48,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,30.37,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.87,0.8656,54.99,"[70, 30, 9, 191]",0.8715,0.87,300
11,0.88,0.8752,36.41,"[70, 30, 6, 194]",0.8844,0.88,300
12,0.8667,0.8561,27.28,"[60, 40, 0, 200]",0.8889,0.8667,300
13,0.91,0.908,28.35,"[79, 21, 6, 194]",0.9114,0.91,300
