Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,41.67222222222223,48.45,24.875,1088.9633969907406,1147.6953125,796.53515625,2378.738425925926,2923.02734375,2264.05078125
2,36.04903846153848,46.95,11.225,1407.4809194711538,1417.3203125,1379.28125,1188.2357271634614,1284.5859375,1137.26953125
3,44.85735294117648,48.425,36.95,1455.6498161764705,1462.60546875,1428.546875,990.4993106617648,1057.49609375,976.28125
4,44.49843750000001,47.45,37.025,1550.2578125,1595.60546875,1461.41796875,775.9698988970588,975.25390625,716.91796875
5,33.75238095238096,49.45,0.0,1602.7535342261904,1605.328125,1593.28515625,682.6322544642857,698.44140625,670.59765625
6,20.062195121951223,47.45,0.0,1588.9768483231708,1590.90625,1586.875,630.9807545731708,679.01953125,590.32421875
7,40.215625,47.675,12.725,1591.744384765625,1591.8984375,1589.83203125,653.286376953125,657.4453125,643.0859375
8,36.354761904761915,47.925,0.0,1510.8407738095239,1511.25390625,1509.16015625,628.452380952381,644.94921875,561.86328125
9,43.80882352941177,55.675,34.7,1512.6137408088234,1512.87890625,1510.59375,537.1482077205883,541.05859375,535.14453125
10,40.6475,47.45,9.75,1525.1474609375,1528.20703125,1513.05859375,508.416796875,535.7421875,476.26953125
11,38.08181818181819,48.2,0.0,1533.2356178977273,1537.93359375,1494.26953125,504.45951704545456,541.9296875,488.81640625
12,42.97647058823531,47.2,24.475,1388.914981617647,1389.0546875,1386.99609375,493.57789522058823,510.5859375,490.3984375
