Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,61.4,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6033,0.6145,44.3,"[68, 32, 87, 113]",0.6658,0.6033,300
3,0.5367,0.5304,52.66,"[86, 14, 125, 75]",0.6977,0.5367,300
4,0.3333,0.1667,44.0,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.4733,0.4463,17.03,"[88, 12, 146, 54]",0.6708,0.4733,300
6,0.64,0.6501,19.96,"[67, 33, 75, 125]",0.6847,0.64,300
7,0.6367,0.6451,21.96,"[59, 41, 68, 132]",0.6635,0.6367,300
8,0.6733,0.6782,20.04,"[93, 7, 91, 109]",0.7949,0.6733,300
9,0.8267,0.8129,19.95,"[54, 46, 6, 194]",0.8389,0.8267,300
10,0.87,0.8607,16.02,"[62, 38, 1, 199]",0.8878,0.87,300
11,0.86,0.8525,39.6,"[64, 36, 6, 194]",0.8671,0.86,300
12,0.8967,0.8919,48.0,"[71, 29, 2, 198]",0.9057,0.8967,300
13,0.9067,0.9029,23.03,"[74, 26, 2, 198]",0.9138,0.9067,300
