Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,45.32,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,50.93,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,52.73,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,29.09,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,27.96,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,27.98,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,26.71,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3567,0.2147,55.28,"[100, 0, 193, 7]",0.7804,0.3567,300
9,0.73,0.7377,33.93,"[86, 14, 67, 133]",0.7905,0.73,300
10,0.87,0.86,62.68,"[61, 39, 0, 200]",0.8912,0.87,300
11,0.9033,0.9021,68.98,"[81, 19, 10, 190]",0.9028,0.9033,300
