Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,45.82,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,50.1,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.6667,0.5333,34.41,"[0, 100, 0, 200]",0.4444,0.6667,300
4,0.6867,0.6882,40.75,"[55, 45, 49, 151]",0.6899,0.6867,300
5,0.3333,0.1667,52.04,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,56.92,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,36.14,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,29.93,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,32.76,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.6633,0.6637,62.11,"[99, 1, 100, 100]",0.8259,0.6633,300
11,0.8933,0.8895,52.27,"[73, 27, 5, 195]",0.8976,0.8933,300
12,0.8767,0.8679,30.62,"[63, 37, 0, 200]",0.8959,0.8767,300
13,0.9,0.8995,31.38,"[83, 17, 13, 187]",0.8993,0.9,300
14,0.92,0.9178,54.0,"[79, 21, 3, 197]",0.9236,0.92,300
