Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,39.88900000000002,47.675,8.0,984.165625,1057.55078125,706.796875,2044.62125,2557.5390625,1897.65234375
2,35.912096774193564,49.175,18.95,1302.463835685484,1310.8828125,1274.80078125,897.7297127016129,962.3046875,866.31640625
3,43.15800000000001,50.225,13.975,1331.54578125,1336.2890625,1320.23046875,644.11375,680.75390625,627.53515625
4,41.27500000000002,49.95,11.225,1359.5334578804348,1368.9453125,1326.89453125,730.4855638586956,784.80859375,706.77734375
5,23.377976190476197,48.425,0.0,1445.1055617559523,1450.82421875,1337.70703125,535.8811383928571,718.72265625,516.86328125
6,38.2037878787879,48.6,23.475,1419.1219223484848,1421.40625,1412.0859375,517.7824337121212,551.6328125,493.8203125
7,43.40125000000002,50.7,17.725,1400.2751953125,1400.30859375,1400.23828125,569.155859375,572.1875,565.50390625
8,37.79500000000001,48.2,22.225,1407.86625,1407.890625,1407.828125,547.01953125,573.96875,494.3203125
9,43.59285714285715,61.175,24.725,1403.704799107143,1406.2265625,1399.66015625,461.7640904017857,470.97265625,454.39453125
10,26.552976190476194,56.175,0.0,1406.041759672619,1408.203125,1403.89453125,474.77613467261904,500.0625,350.00390625
11,40.180681818181824,49.2,0.0,1416.963778409091,1418.921875,1406.08984375,498.17258522727275,518.76171875,491.890625
12,41.57631578947369,48.45,4.25,1422.496916118421,1422.52734375,1422.4609375,408.24588815789474,419.79296875,399.078125
13,44.30125000000001,48.2,30.975,1420.206640625,1420.3359375,1420.02734375,432.4498046875,435.8984375,423.66796875
14,42.71904761904763,48.95,21.975,1404.4884672619048,1404.51953125,1404.453125,512.6590401785714,515.90234375,510.0859375
15,44.05125000000002,48.45,32.45,1406.690625,1406.8125,1404.7578125,497.404296875,503.6875,495.21484375
16,35.49404761904763,49.9,21.475,1405.029761904762,1405.0703125,1404.75,467.39285714285717,478.703125,454.37109375
17,44.52916666666667,60.55,18.5,1405.374782986111,1405.40234375,1405.3359375,464.3869357638889,469.4140625,461.6015625
18,27.630487804878058,49.675,0.0,1414.018673780488,1414.0625,1413.9921875,428.3570884146341,458.10546875,307.69921875
