Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,26.79,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,24.8,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.6667,0.5333,26.19,"[0, 100, 0, 200]",0.4444,0.6667,300
4,0.3333,0.1667,25.41,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.6667,0.5333,25.91,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.3333,0.1667,26.0,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,23.37,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.6667,0.5333,22.64,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.3333,0.1667,23.16,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.3333,0.1667,26.18,"[100, 0, 200, 0]",0.1111,0.3333,300
11,0.3333,0.1667,27.37,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.6667,0.5333,26.2,"[0, 100, 0, 200]",0.4444,0.6667,300
13,0.6667,0.5333,45.48,"[0, 100, 0, 200]",0.4444,0.6667,300
14,0.3333,0.1667,21.66,"[100, 0, 200, 0]",0.1111,0.3333,300
15,0.3333,0.1667,26.12,"[100, 0, 200, 0]",0.1111,0.3333,300
16,0.6667,0.5333,25.63,"[0, 100, 0, 200]",0.4444,0.6667,300
17,0.6667,0.5333,25.75,"[0, 100, 0, 200]",0.4444,0.6667,300
18,0.3333,0.1667,25.08,"[100, 0, 200, 0]",0.1111,0.3333,300
19,0.3333,0.1667,27.41,"[100, 0, 200, 0]",0.1111,0.3333,300
20,0.3333,0.1667,26.24,"[100, 0, 200, 0]",0.1111,0.3333,300
21,0.6667,0.5333,24.22,"[0, 100, 0, 200]",0.4444,0.6667,300
22,0.3333,0.1667,25.79,"[100, 0, 200, 0]",0.1111,0.3333,300
23,0.3333,0.1667,23.45,"[100, 0, 200, 0]",0.1111,0.3333,300
24,0.6667,0.5333,23.11,"[0, 100, 0, 200]",0.4444,0.6667,300
25,0.3333,0.1667,23.18,"[100, 0, 200, 0]",0.1111,0.3333,300
