Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.72,0.6626,25.57,"[22, 78, 6, 194]",0.7374,0.72,300
2,0.5433,0.5318,31.15,"[91, 9, 128, 72]",0.7311,0.5433,300
3,0.3367,0.1737,25.61,"[100, 0, 199, 1]",0.7781,0.3367,300
4,0.7533,0.7464,25.07,"[54, 46, 28, 172]",0.7455,0.7533,300
5,0.79,0.7762,28.87,"[51, 49, 14, 186]",0.7892,0.79,300
6,0.74,0.7307,27.85,"[50, 50, 28, 172]",0.7302,0.74,300
7,0.7333,0.7404,27.16,"[91, 9, 71, 129]",0.8104,0.7333,300
8,0.7567,0.7055,24.33,"[27, 73, 0, 200]",0.8217,0.7567,300
9,0.8433,0.8418,26.07,"[73, 27, 20, 180]",0.8414,0.8433,300
10,0.89,0.8844,24.78,"[69, 31, 2, 198]",0.9004,0.89,300
11,0.8933,0.8881,54.52,"[70, 30, 2, 198]",0.903,0.8933,300
12,0.8367,0.8191,26.66,"[51, 49, 0, 200]",0.8688,0.8367,300
13,0.9167,0.9145,24.33,"[79, 21, 4, 196]",0.9194,0.9167,300
