round,layer_index,norm,std_dev,shape
5,1,900974.2942359677,155434.15184108863,"(32,)"
5,2,884808.6238684611,156251.58168068202,"(32,)"
5,3,965291.7616492953,167621.36857979206,"(32,)"
5,4,1659529.2543396153,280012.9026586721,"(32,)"
5,5,22389767.932299096,27017.803456106,"(32,)"
5,6,31150657.295970835,274796.2790443211,"(5, 5, 32, 16)"
5,7,695329.2756723249,156114.46150670137,"(16,)"
5,8,1244337.8101319594,311058.95472479874,"(16,)"
5,9,1192224.7227037358,282836.11698130507,"(16,)"
5,10,12617085.692529911,3062934.1564376014,"(16,)"
5,11,27426133.583008487,4918775.152262406,"(16,)"
5,12,23532880.240129236,207824.00035251677,"(5, 5, 16, 32)"
5,13,2195127.287525031,279454.5109828207,"(32,)"
5,14,1889112.012104629,296728.8621875025,"(32,)"
5,15,1243923.6786113528,180398.38829934152,"(32,)"
5,16,10671570.650157407,1813344.6783296645,"(32,)"
5,17,32829899.995342202,2938635.550253504,"(32,)"
5,18,351151770.7188679,365743.7031529518,"(4608, 200)"
5,19,2340981.035549626,165169.9616866571,"(200,)"
5,20,5196491.658091736,259824.58290457804,"(200, 2)"
5,21,313517.00464249146,221690.0,"(2,)"
6,0,8837026.83489566,309959.9779485164,"(5, 5, 1, 32)"
6,1,986135.7749640766,169938.42307793387,"(32,)"
6,2,1802521.6609661034,318378.99242028926,"(32,)"
6,3,930084.5981350299,162275.508932292,"(32,)"
6,4,3367632.890931106,556885.6626314769,"(32,)"
6,5,12210757.046082525,48521.0282833317,"(32,)"
6,6,35569407.62085828,311212.3450217851,"(5, 5, 32, 16)"
6,7,750242.4510016745,184447.47284913826,"(16,)"
6,8,1731058.550319428,432764.5349790403,"(16,)"
6,9,889503.9005372601,209601.75729760973,"(16,)"
6,10,7328084.495461212,1810458.942093757,"(16,)"
6,11,12627128.321444072,2477667.670219798,"(16,)"
6,12,28476182.022164926,251582.5331317043,"(5, 5, 16, 32)"
6,13,1833723.0396747487,261735.86515463656,"(32,)"
6,14,1414987.7137551408,238051.91995883975,"(32,)"
6,15,1329125.103280726,192109.31157609518,"(32,)"
6,16,11111866.845881974,1951323.4056743963,"(32,)"
6,17,20398908.928581424,3278189.9662581854,"(32,)"
6,18,340857692.03373283,355010.0986022177,"(4608, 200)"
6,19,2413616.7944081347,170575.58751329855,"(200,)"
6,20,5613465.14871857,280673.25743592845,"(200, 2)"
6,21,31343.215182874905,22163.0,"(2,)"
7,0,6985917.307746922,246677.28870833802,"(5, 5, 1, 32)"
7,1,2277094.471372016,401628.381376122,"(32,)"
7,2,985052.0980806041,173842.75693891887,"(32,)"
7,3,1210948.9521135893,213330.17901541502,"(32,)"
7,4,3571057.1754327877,571866.6243528423,"(32,)"
7,5,6679164.195687511,50937.53650884428,"(32,)"
7,6,29324771.43515787,256712.1255491002,"(5, 5, 32, 16)"
7,7,1019409.9226434869,254820.00953218798,"(16,)"
7,8,1357514.9743008362,339245.65419544594,"(16,)"
7,9,885683.5491043063,177407.7502661154,"(16,)"
7,10,12988921.782476557,2372757.8192531313,"(16,)"
7,11,20563121.84554534,3067430.9752221173,"(16,)"
7,12,23254944.21864297,200156.18219047497,"(5, 5, 16, 32)"
7,13,1556832.7292024663,215537.59650769166,"(32,)"
7,14,1754549.2556135322,244620.36579468878,"(32,)"
7,15,905632.5524422143,152461.7230884033,"(32,)"
7,16,11414421.347364001,1781897.9953207218,"(32,)"
7,17,23022260.099744204,2345884.3646312393,"(32,)"
7,18,277649568.851127,289166.4493691373,"(4608, 200)"
7,19,1809506.2970766362,120719.36071172013,"(200,)"
7,20,4684708.235159795,234235.41175797608,"(200, 2)"
7,21,91857.41351681964,64953.0,"(2,)"
8,0,5162057.624237161,181253.7940539923,"(5, 5, 1, 32)"
8,1,855325.304867686,151108.99481809983,"(32,)"
8,2,518090.6595712762,90430.87075897028,"(32,)"
8,3,886571.5927396952,153550.58666053964,"(32,)"
8,4,3289716.036819136,540569.8218115023,"(32,)"
8,5,3648964.268175012,41834.88914503472,"(32,)"
8,6,25555052.697003327,224469.20835708888,"(5, 5, 32, 16)"
8,7,893145.9078935535,223002.6457125057,"(16,)"
8,8,702776.2147938702,175688.6565254979,"(16,)"
8,9,1079868.8103376261,199058.29057652937,"(16,)"
8,10,13150499.885441009,2256394.073087796,"(16,)"
8,11,18330108.898242284,2761255.8704758263,"(16,)"
8,12,20869422.99850748,181372.76047872164,"(5, 5, 16, 32)"
8,13,1871215.6707536413,246126.5646421112,"(32,)"
8,14,1944169.9304278935,255806.41474438243,"(32,)"
8,15,550487.8060883819,78011.60242551164,"(32,)"
8,16,14691611.970981708,1232720.3716718643,"(32,)"
8,17,27673192.49997414,1938206.6024383833,"(32,)"
8,18,240288129.83329055,250203.13578939825,"(4608, 200)"
8,19,1535587.1467109902,105180.9410393271,"(200,)"
8,20,3568751.032125385,178437.55160626076,"(200, 2)"
8,21,58534.29934662241,41390.0,"(2,)"
9,0,15066468.074927647,511990.35185930086,"(5, 5, 1, 32)"
9,1,1851414.7441102979,301220.8347903509,"(32,)"
9,2,1345927.2587989294,237737.37566376914,"(32,)"
9,3,1048218.0958598263,166268.67327719726,"(32,)"
9,4,1637788.9089272157,282243.782015237,"(32,)"
9,5,1902030.6542734795,14538.043061653792,"(32,)"
9,6,35261620.7746707,311455.9322036935,"(5, 5, 32, 16)"
9,7,1139829.1849729063,283821.9240742941,"(16,)"
9,8,1195963.4054326245,298978.8052870293,"(16,)"
9,9,1579876.8362157221,332496.98376878526,"(16,)"
9,10,8696520.33542744,2006939.1751978688,"(16,)"
9,11,11565734.816187426,2252732.4500504904,"(16,)"
9,12,33274227.36516827,293236.15732212685,"(5, 5, 16, 32)"
9,13,2654354.5825405465,308674.488149202,"(32,)"
9,14,867055.8391781928,153099.62534339554,"(32,)"
9,15,2118012.1969476473,325435.572046105,"(32,)"
9,16,14013025.0449753,1358826.1965843553,"(32,)"
9,17,22753621.163682166,2328119.4358201106,"(32,)"
9,18,304927077.1902347,317586.3220711298,"(4608, 200)"
9,19,2393533.609422688,169248.1979826004,"(200,)"
9,20,5915373.539375937,295768.6769687913,"(200, 2)"
9,21,53943.76212315934,38144.0,"(2,)"
10,0,8708998.250526521,301814.6355143602,"(5, 5, 1, 32)"
10,1,2377551.286554509,415570.4819498496,"(32,)"
10,2,1820355.8787684897,321796.2186198316,"(32,)"
10,3,2480034.944130828,434303.4338234905,"(32,)"
10,4,4185578.975900586,721892.9957949473,"(32,)"
10,5,1086621.8326179537,25553.212230115878,"(32,)"
10,6,37314365.61435972,329326.9311243387,"(5, 5, 32, 16)"
10,7,1752025.2960214359,339264.63223294046,"(16,)"
10,8,1876336.8579964526,468615.1062795131,"(16,)"
10,9,1115501.5651777454,271993.7282081381,"(16,)"
10,10,15530516.341808021,3875768.9299885524,"(16,)"
10,11,15548439.77002384,3885340.9667356047,"(16,)"
10,12,37292220.94139496,329350.1384397478,"(5, 5, 16, 32)"
10,13,1916334.060956492,302247.5039056813,"(32,)"
10,14,1438205.0843982578,213186.35420785384,"(32,)"
10,15,1451143.4818628377,247736.99501012653,"(32,)"
10,16,16686746.995548682,2894098.8674640525,"(32,)"
10,17,24298553.172672175,4219386.366950978,"(32,)"
10,18,309537998.931197,322407.2685876511,"(4608, 200)"
10,19,2460282.3476715027,173948.92696017385,"(200,)"
10,20,6926935.274578289,346346.7637289119,"(200, 2)"
10,21,34277.70832479908,24238.0,"(2,)"
11,0,8708998.250526521,301814.6355143602,"(5, 5, 1, 32)"
11,1,2377551.286554509,415570.4819498496,"(32,)"
11,2,1820355.8787684897,321796.2186198316,"(32,)"
11,3,2480034.944130828,434303.4338234905,"(32,)"
11,4,4185578.975900586,721892.9957949473,"(32,)"
11,5,1086621.8326179537,25553.212230115878,"(32,)"
11,6,37314365.61435972,329326.9311243387,"(5, 5, 32, 16)"
11,7,1752025.2960214359,339264.63223294046,"(16,)"
11,8,1876336.8579964526,468615.1062795131,"(16,)"
11,9,1115501.5651777454,271993.7282081381,"(16,)"
11,10,15530516.341808021,3875768.9299885524,"(16,)"
11,11,15548439.77002384,3885340.9667356047,"(16,)"
11,12,37292220.94139496,329350.1384397478,"(5, 5, 16, 32)"
11,13,1916334.060956492,302247.5039056813,"(32,)"
11,14,1438205.0843982578,213186.35420785384,"(32,)"
11,15,1451143.4818628377,247736.99501012653,"(32,)"
11,16,16686746.995548682,2894098.8674640525,"(32,)"
11,17,24298553.172672175,4219386.366950978,"(32,)"
11,18,309537998.931197,322407.2685876511,"(4608, 200)"
11,19,2460282.3476715027,173948.92696017385,"(200,)"
11,20,6926935.274578289,346346.7637289119,"(200, 2)"
11,21,34277.70832479908,24238.0,"(2,)"
12,0,8708998.250526521,301814.6355143602,"(5, 5, 1, 32)"
12,1,2377551.286554509,415570.4819498496,"(32,)"
12,2,1820355.8787684897,321796.2186198316,"(32,)"
12,3,2480034.944130828,434303.4338234905,"(32,)"
12,4,4185578.975900586,721892.9957949473,"(32,)"
12,5,1086621.8326179537,25553.212230115878,"(32,)"
12,6,37314365.61435972,329326.9311243387,"(5, 5, 32, 16)"
12,7,1752025.2960214359,339264.63223294046,"(16,)"
12,8,1876336.8579964526,468615.1062795131,"(16,)"
12,9,1115501.5651777454,271993.7282081381,"(16,)"
12,10,15530516.341808021,3875768.9299885524,"(16,)"
12,11,15548439.77002384,3885340.9667356047,"(16,)"
12,12,37292220.94139496,329350.1384397478,"(5, 5, 16, 32)"
12,13,1916334.060956492,302247.5039056813,"(32,)"
12,14,1438205.0843982578,213186.35420785384,"(32,)"
12,15,1451143.4818628377,247736.99501012653,"(32,)"
12,16,16686746.995548682,2894098.8674640525,"(32,)"
12,17,24298553.172672175,4219386.366950978,"(32,)"
12,18,309537998.931197,322407.2685876511,"(4608, 200)"
12,19,2460282.3476715027,173948.92696017385,"(200,)"
12,20,6926935.274578289,346346.7637289119,"(200, 2)"
12,21,34277.70832479908,24238.0,"(2,)"
13,0,8708998.250526521,301814.6355143602,"(5, 5, 1, 32)"
13,1,2377551.286554509,415570.4819498496,"(32,)"
13,2,1820355.8787684897,321796.2186198316,"(32,)"
13,3,2480034.944130828,434303.4338234905,"(32,)"
13,4,4185578.975900586,721892.9957949473,"(32,)"
13,5,1086621.8326179537,25553.212230115878,"(32,)"
13,6,37314365.61435972,329326.9311243387,"(5, 5, 32, 16)"
13,7,1752025.2960214359,339264.63223294046,"(16,)"
13,8,1876336.8579964526,468615.1062795131,"(16,)"
13,9,1115501.5651777454,271993.7282081381,"(16,)"
13,10,15530516.341808021,3875768.9299885524,"(16,)"
13,11,15548439.77002384,3885340.9667356047,"(16,)"
13,12,37292220.94139496,329350.1384397478,"(5, 5, 16, 32)"
13,13,1916334.060956492,302247.5039056813,"(32,)"
13,14,1438205.0843982578,213186.35420785384,"(32,)"
13,15,1451143.4818628377,247736.99501012653,"(32,)"
13,16,16686746.995548682,2894098.8674640525,"(32,)"
13,17,24298553.172672175,4219386.366950978,"(32,)"
13,18,309537998.931197,322407.2685876511,"(4608, 200)"
13,19,2460282.3476715027,173948.92696017385,"(200,)"
13,20,6926935.274578289,346346.7637289119,"(200, 2)"
13,21,34277.70832479908,24238.0,"(2,)"
14,0,8708998.250526521,301814.6355143602,"(5, 5, 1, 32)"
14,1,2377551.286554509,415570.4819498496,"(32,)"
14,2,1820355.8787684897,321796.2186198316,"(32,)"
14,3,2480034.944130828,434303.4338234905,"(32,)"
14,4,4185578.975900586,721892.9957949473,"(32,)"
14,5,1086621.8326179537,25553.212230115878,"(32,)"
14,6,37314365.61435972,329326.9311243387,"(5, 5, 32, 16)"
14,7,1752025.2960214359,339264.63223294046,"(16,)"
14,8,1876336.8579964526,468615.1062795131,"(16,)"
14,9,1115501.5651777454,271993.7282081381,"(16,)"
14,10,15530516.341808021,3875768.9299885524,"(16,)"
14,11,15548439.77002384,3885340.9667356047,"(16,)"
14,12,37292220.94139496,329350.1384397478,"(5, 5, 16, 32)"
14,13,1916334.060956492,302247.5039056813,"(32,)"
14,14,1438205.0843982578,213186.35420785384,"(32,)"
14,15,1451143.4818628377,247736.99501012653,"(32,)"
14,16,16686746.995548682,2894098.8674640525,"(32,)"
14,17,24298553.172672175,4219386.366950978,"(32,)"
