Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,30.24,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,25.86,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.6667,0.5333,23.87,"[0, 100, 0, 200]",0.4444,0.6667,300
4,0.6867,0.5775,24.09,"[6, 94, 0, 200]",0.7868,0.6867,300
5,0.6667,0.5333,25.64,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.6667,0.5333,26.2,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.6667,0.5333,27.54,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.3333,0.1667,47.62,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,26.68,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8367,0.8191,26.8,"[51, 49, 0, 200]",0.8688,0.8367,300
11,0.8033,0.7748,38.13,"[41, 59, 0, 200]",0.8481,0.8033,300
12,0.8433,0.8275,25.11,"[53, 47, 0, 200]",0.8731,0.8433,300
13,0.7,0.6048,32.53,"[10, 90, 0, 200]",0.7931,0.7,300
14,0.9267,0.9256,28.21,"[84, 16, 6, 194]",0.927,0.9267,300
