Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,31.846774193548406,46.7,18.475,1020.1262600806451,1067.546875,742.1640625,2458.734879032258,3039.40625,2308.29296875
2,38.78571428571429,48.45,0.0,1317.8033854166667,1320.21875,1289.35546875,1291.0286458333333,1357.421875,1216.06640625
3,45.135000000000005,49.45,34.2,1404.4525390625,1409.80859375,1377.5078125,840.128125,894.28515625,828.94921875
4,41.25208333333335,47.95,15.475,1420.1100260416667,1482.23828125,1358.64453125,688.7412109375,831.234375,623.37109375
5,41.802272727272744,49.175,17.975,1444.9682173295455,1450.56640625,1422.75,633.7816051136364,652.296875,625.16015625
6,42.39444444444446,46.95,18.725,1441.2749565972222,1443.0703125,1441.0703125,602.7413194444445,605.30859375,599.609375
7,42.48194444444445,47.95,29.975,1443.1942274305557,1443.328125,1441.26953125,590.8396267361111,599.8828125,578.609375
8,43.13750000000001,47.95,14.475,1417.435546875,1417.45703125,1417.39453125,638.7350260416666,644.26953125,630.8828125
9,41.875000000000014,49.425,0.0,1427.0801711309523,1429.08203125,1425.04296875,520.882068452381,522.5390625,515.84765625
10,44.40263157894738,49.7,37.2,1416.9769736842106,1418.8828125,1416.83203125,522.1459703947369,533.625,518.7890625
11,41.903125,50.725,18.725,1422.3723958333333,1424.0546875,1413.5078125,566.6656901041666,584.05078125,560.9765625
12,37.51666666666667,51.675,0.0,1429.7760416666667,1431.6484375,1429.6484375,481.71261160714283,491.77734375,414.69921875
13,44.807352941176475,51.425,37.45,1424.7074908088234,1424.9609375,1422.66015625,519.9145220588235,529.56640625,513.81640625
14,43.51125000000001,49.2,15.975,1419.9654296875,1420.71875,1419.6796875,512.396875,515.91015625,504.1640625
15,22.016666666666673,47.65,0.0,1423.0943080357142,1425.2109375,1420.953125,502.2435825892857,547.8046875,454.70703125
16,43.832954545454555,50.2,9.0,1427.0406605113637,1427.0625,1427.0,515.8801491477273,525.109375,508.875
17,43.869318181818194,50.7,22.225,1422.1995738636363,1422.3125,1420.2578125,544.5358664772727,551.75390625,538.85546875
18,25.048214285714288,50.425,0.0,1422.3902529761904,1422.4296875,1422.3671875,521.436290922619,568.6875,417.61328125
