Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6733,0.5485,55.51,"[2, 98, 0, 200]",0.7808,0.6733,300
2,0.3333,0.1667,47.64,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,23.58,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,29.55,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,27.35,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,48.37,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,23.14,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,53.33,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,31.96,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.88,0.8797,50.95,"[81, 19, 17, 183]",0.8795,0.88,300
11,0.8867,0.8821,34.64,"[71, 29, 5, 195]",0.8918,0.8867,300
12,0.89,0.8849,36.98,"[70, 30, 3, 197]",0.8982,0.89,300
