Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3833,0.275,35.58,"[98, 2, 183, 17]",0.7127,0.3833,300
2,0.3333,0.1667,30.1,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,27.19,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,31.45,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,28.65,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,29.43,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,31.34,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,59.77,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,51.29,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.7233,0.7302,29.64,"[92, 8, 75, 125]",0.8102,0.7233,300
11,0.92,0.9189,36.28,"[83, 17, 7, 193]",0.9201,0.92,300
