Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,27.29,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,24.36,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.6667,0.5333,24.7,"[0, 100, 0, 200]",0.4444,0.6667,300
4,0.6667,0.5333,23.59,"[0, 100, 0, 200]",0.4444,0.6667,300
5,0.6667,0.5333,23.56,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.6667,0.5333,25.64,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.3333,0.1667,26.34,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.6667,0.5333,26.29,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.6667,0.5333,22.23,"[0, 100, 0, 200]",0.4444,0.6667,300
10,0.6667,0.5333,26.36,"[0, 100, 0, 200]",0.4444,0.6667,300
11,0.3333,0.1667,25.48,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.3333,0.1667,26.26,"[100, 0, 200, 0]",0.1111,0.3333,300
13,0.3333,0.1667,26.37,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.3333,0.1667,25.7,"[100, 0, 200, 0]",0.1111,0.3333,300
15,0.3333,0.1667,26.16,"[100, 0, 200, 0]",0.1111,0.3333,300
16,0.6667,0.5333,25.82,"[0, 100, 0, 200]",0.4444,0.6667,300
17,0.6667,0.5333,26.37,"[0, 100, 0, 200]",0.4444,0.6667,300
18,0.3333,0.1667,26.44,"[100, 0, 200, 0]",0.1111,0.3333,300
19,0.6667,0.5333,22.5,"[0, 100, 0, 200]",0.4444,0.6667,300
20,0.3333,0.1667,26.32,"[100, 0, 200, 0]",0.1111,0.3333,300
21,0.6667,0.5333,22.46,"[0, 100, 0, 200]",0.4444,0.6667,300
22,0.3333,0.1667,27.07,"[100, 0, 200, 0]",0.1111,0.3333,300
23,0.6667,0.5333,23.16,"[0, 100, 0, 200]",0.4444,0.6667,300
24,0.6667,0.5333,23.18,"[0, 100, 0, 200]",0.4444,0.6667,300
25,0.3333,0.1667,27.94,"[100, 0, 200, 0]",0.1111,0.3333,300
