Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,33.61,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,26.08,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,25.52,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,26.36,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.6667,0.5333,23.6,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.3333,0.1667,28.04,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,24.29,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,26.6,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,32.14,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8567,0.8557,26.86,"[76, 24, 19, 181]",0.8553,0.8567,300
11,0.8567,0.844,34.15,"[57, 43, 0, 200]",0.882,0.8567,300
12,0.82,0.7974,28.56,"[46, 54, 0, 200]",0.8583,0.82,300
13,0.8967,0.8928,29.43,"[73, 27, 4, 196]",0.902,0.8967,300
14,0.81,0.784,27.16,"[43, 57, 0, 200]",0.8521,0.81,300
15,0.8933,0.8876,26.57,"[69, 31, 1, 199]",0.9054,0.8933,300
16,0.92,0.9175,25.5,"[78, 22, 2, 198]",0.925,0.92,300
