Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6333,0.638,44.05,"[51, 49, 61, 139]",0.6447,0.6333,300
2,0.3333,0.1667,31.6,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.6667,0.5333,30.14,"[0, 100, 0, 200]",0.4444,0.6667,300
4,0.3333,0.1667,46.67,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,51.07,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,31.75,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,25.03,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,25.13,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,28.3,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.3333,0.1667,29.11,"[100, 0, 200, 0]",0.1111,0.3333,300
11,0.3333,0.1667,57.19,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.3333,0.1667,27.6,"[100, 0, 200, 0]",0.1111,0.3333,300
13,0.3333,0.1667,26.68,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.3333,0.1667,38.23,"[100, 0, 200, 0]",0.1111,0.3333,300
15,0.3333,0.1667,49.63,"[100, 0, 200, 0]",0.1111,0.3333,300
16,0.3333,0.1667,33.77,"[100, 0, 200, 0]",0.1111,0.3333,300
17,0.3333,0.1667,48.49,"[100, 0, 200, 0]",0.1111,0.3333,300
18,0.9433,0.9428,62.45,"[88, 12, 5, 195]",0.9434,0.9433,300
